comment_id,sentiment,sentiment_score
UgzBYXrWK1xvzr_AvG54AaABAg,positive,0.4752504825592041
UgwQY9Npk5VomWVQN0J4AaABAg,positive,0.5114085674285889
UgxoKT7hEqYml20TEgp4AaABAg,positive,0.6823411583900452
UgzfgYvtEHBIOjyD_FF4AaABAg,negative,0.8884443640708923
UgxWx72W1UFzTCV6u-l4AaABAg,negative,0.6753374934196472
Ugw-yMaYditXQ-ovHNB4AaABAg,negative,0.3849821090698242
UgyWbLzfxq5So_-DEoV4AaABAg,negative,0.9141739010810852
UgwAnNZF0wrSKFi3qrR4AaABAg,negative,0.5619471669197083
UgwPpQGBs8EdvIe8AOF4AaABAg,neutral,0.6523091793060303
UgzKFD8UwHFoYkOSH4J4AaABAg,positive,0.9306171536445618
Ugzg5ukFyKcn8G1ksAd4AaABAg,neutral,0.7595999836921692
UgyOSldFPYlA2E3fBNZ4AaABAg,positive,0.8193790912628174
UgzP6CR9ZYOv7E0swd94AaABAg,negative,0.4709167778491974
Ugzujg2A23nbEQmrrZ14AaABAg,neutral,0.5125406384468079
UgxZyWQbBs2q59dFUYt4AaABAg,negative,0.8701254725456238
UgyQ7oy5U4AV0Lp1SOZ4AaABAg,positive,0.8839401602745056
Ugys6VugELHFkYLtqCV4AaABAg,neutral,0.43633833527565
UgzqWa5pzlm0qbb0kl14AaABAg,positive,0.9209429621696472
UgwzKkXC8Lky6JT0HG94AaABAg,positive,0.9354812502861024
UgygtB3cE5SII4_BpNp4AaABAg,neutral,0.4897800087928772
Ugzq1wNuN0iXzUJljmV4AaABAg,positive,0.8144538998603821
UgxnbA04-AXd5j5MDAZ4AaABAg,neutral,0.5406989455223083
UgxC3XCOcqD5cW2xeUR4AaABAg,negative,0.9056984186172484
UgzY46e827m3L15dtpd4AaABAg,negative,0.8383805155754089
Ugy2HMGu5tn3djzSa_54AaABAg,negative,0.938778281211853
UgzSOCYQDODyQI58ET94AaABAg,negative,0.6437335014343262
UgzUNYNYyZMblDbqSJ14AaABAg,neutral,0.5293757915496826
UgzVPRvm2i-1uglN0Zh4AaABAg,positive,0.5369534492492676
UgwGu9vjWKxxL92C5sh4AaABAg,negative,0.808897852897644
UgzCao290umigwCgGAp4AaABAg,negative,0.7038241028785706
Ugxppisg6aeH4AqdbBp4AaABAg,negative,0.9370924830436708
UgwXL38Rq_WnnyUNR6V4AaABAg,neutral,0.6851398944854736
UgxrzLBsS1w1LM_29DN4AaABAg,positive,0.5781505703926086
UgxHW7XlNqQiORpdwjp4AaABAg,negative,0.9409464597702026
UgzvTbpWB7ZkZcqbDYF4AaABAg,negative,0.4437775909900665
UgzvTbpWB7ZkZcqbDYF4AaABAg.AaGOWzGS9tgAaGObu9TfX9,neutral,0.5984075665473938
Ugw8PZj9fCJ9mf3TRnV4AaABAg,positive,0.5288631916046143
UgwEbsKPPKm81Y96Nw14AaABAg,negative,0.90932959318161
UgxMZAUTEyfeSKkkSwV4AaABAg,positive,0.566784143447876
UgwRan1ToAGBqG0sXH54AaABAg,neutral,0.4630819857120514
UgyuByLoBFmAvqLHvd14AaABAg,negative,0.5284594893455505
UgxDE3YSMpuVjk5iYc94AaABAg,negative,0.8293198347091675
UgyEbzsU0c40rKmplxB4AaABAg,negative,0.6874170899391174
UgyknCSnXydaUMck-yN4AaABAg,negative,0.8838261365890503
UgzOrlkY-YcJoYopBm94AaABAg,positive,0.5220343470573425
Ugxu-ePWOXSOpQperYZ4AaABAg,negative,0.8961907625198364
Ugx8SgNdyQ9b1hddIch4AaABAg,negative,0.7954113483428955
UgznTIk73uH_8FawQKd4AaABAg,negative,0.9178696274757384
Ugye7yAsTkWFauK8tHB4AaABAg,positive,0.939305543899536
UgzhFQ8FrRVSAUZztJB4AaABAg,negative,0.9371482729911804
UgyO_ca_63mDzzIopzl4AaABAg,negative,0.7390910387039185
Ugyk6sfKnhwfGpOXHwN4AaABAg,positive,0.5970432162284851
UgyinvQnFUlDYNQfoGF4AaABAg,negative,0.4016779661178589
UgxlR0rJi1vTTEoxOh54AaABAg,neutral,0.5434922575950623
UgyvLTwe9tE4OR86M3p4AaABAg,negative,0.940651535987854
Ugyq7aNiFDk7Zc8_vCN4AaABAg,positive,0.930274784564972
UgzQG69EYZ5ixkTc-hF4AaABAg,neutral,0.3363882005214691
UgyKGO-pB0zX3Czb2-F4AaABAg,negative,0.9505379796028136
Ugzc2bWzx33Mbysyj2p4AaABAg,negative,0.7853748202323914
Ugxnc-RhNFSYJhhiJx94AaABAg,neutral,0.8293020129203796
UgwI0j2_MX8_LwtXME94AaABAg,negative,0.8090749979019165
UgyxW4JzqtN0079qgGZ4AaABAg,negative,0.9485083818435668
Ugxfwe2LssafAmWSi1R4AaABAg,positive,0.6611707210540771
UgyMUaucKDf0BRpt9ad4AaABAg,negative,0.9110727906227112
UgxEGSY6HMS3-Ey0D1F4AaABAg,positive,0.5237882137298584
UgykFiy0FYV91q_rGzd4AaABAg,negative,0.8908279538154602
Ugzmr3yeaeiYPTRHSph4AaABAg,negative,0.5520921945571899
Ugwy7Hi0HooiGRcTQZJ4AaABAg,neutral,0.7151564955711365
UgyQT1M27IGWRCSafdR4AaABAg,negative,0.344655841588974
UgzgIVCVwHEEhcolezF4AaABAg,positive,0.887631356716156
Ugwasv_bGvX7xDSEh3l4AaABAg,neutral,0.730256199836731
Ugyj76wncQuUG-0eKZR4AaABAg,neutral,0.3834383487701416
Ugy0YWAfTgmqj4aqi5h4AaABAg,positive,0.8349219560623169
Ugy0YWAfTgmqj4aqi5h4AaABAg.AaGBg0IRPdQAaGdhKNpUtE,negative,0.8162850737571716
UgxY980Kv7xjN-Odptt4AaABAg,negative,0.8647533059120178
Ugwl1Zv7pI4RCHwcJXt4AaABAg,neutral,0.4928905665874481
UgyuoCicjtVpFxrFzxp4AaABAg,positive,0.6822450160980225
UgwLEoYRl8Pt8_rCpKV4AaABAg,negative,0.6858206987380981
UgxxYRZhHKh_uXYoqmt4AaABAg,positive,0.9003268480300903
UgwuNXeXSPoOxrxje7N4AaABAg,positive,0.8728728294372559
UgyyocYR5Tubz_gq7kN4AaABAg,negative,0.8937951326370239
Ugw-yK-3UuZvUGDIOL94AaABAg,negative,0.8996849656105042
UgysiTpW1Mt3Nu289V14AaABAg,positive,0.3896856307983398
UgwotAbHjA3nMYSjWhx4AaABAg,neutral,0.7197276949882507
Ugxbu237IODdp8omMNd4AaABAg,neutral,0.7964215874671936
UgxQ8VtilPCScVnJ7Rp4AaABAg,negative,0.6504951119422913
UgwLV7nfenILTIhJQ_14AaABAg,negative,0.8471463322639465
Ugy5Th_FjGUfLC-Meed4AaABAg,positive,0.8713971972465515
UgzAXJ0PssHl9j7b8kt4AaABAg,neutral,0.4724515676498413
UgxwHV1tOUeQDwKkq-p4AaABAg,negative,0.9500485062599182
UgwiOfiy2-wtPeLL6aR4AaABAg,positive,0.5048279762268066
UgzzXdXweT4nQF_3ZQB4AaABAg,neutral,0.6758108139038086
UgxfmI03UKJYVtBpCNp4AaABAg,negative,0.6743938326835632
UgyVDFfOaj0Plttt1S54AaABAg,positive,0.4965448677539825
Ugxu4R2Jj1P9IuzwcRZ4AaABAg,neutral,0.6233766078948975
UgygZFn1mK29xsYq9Ah4AaABAg,neutral,0.5524725317955017
Ugyd6c566QSJ_66VS0d4AaABAg,neutral,0.4386178851127624
Ugxt0TS6w9pSbYnDWQF4AaABAg,negative,0.9539185166358948
