entity_id,canonical_name,alias,alias_confidence,alias_note
technical_staff_fabricio_rocha_de_carvalho,Fabrício Rocha de Carvalho,fabricio rocha de carvalho,high,canonical_without_accents
technical_staff_fabio_mahseredjian,Fábio Mahseredjian,fábio mahseredjian,high,canonical_lower
technical_staff_fabio_mahseredjian,Fábio Mahseredjian,fabio mahseredjian,high,canonical_without_accents
technical_staff_gustavo_mendes_shiroma,Gustavo Mendes Shiroma,gustavo mendes shiroma,high,canonical_lower
technical_staff_henrique_bueno_americo,Henrique Bueno Américo,henrique bueno américo,high,canonical_lower
technical_staff_henrique_bueno_americo,Henrique Bueno Américo,henrique bueno americo,high,canonical_without_accents
technical_staff_jose_omar_alves_feitosa,José Omar Alves Feitosa,josé omar alves feitosa,high,canonical_lower
technical_staff_jose_omar_alves_feitosa,José Omar Alves Feitosa,jose omar alves feitosa,high,canonical_without_accents
technical_staff_joao_pedro_campos_cardoso,João Pedro Campos Cardoso,joão pedro campos cardoso,high,canonical_lower
technical_staff_joao_pedro_campos_cardoso,João Pedro Campos Cardoso,joao pedro campos cardoso,high,canonical_without_accents
technical_staff_leandro_diaz,Leandro Díaz,leandro díaz,high,canonical_lower
technical_staff_leandro_diaz,Leandro Díaz,leandro diaz,high,canonical_without_accents
technical_staff_matheus_rizzi_bachi,Matheus Rizzi Bachi,matheus rizzi bachi,high,canonical_lower
technical_staff_otaviano_de_oliveira_junior,Otaviano de Oliveira Júnior,otaviano de oliveira júnior,high,canonical_lower
technical_staff_otaviano_de_oliveira_junior,Otaviano de Oliveira Júnior,otaviano de oliveira junior,high,canonical_without_accents
technical_staff_pablo_candido_fernandez,Pablo Candido Fernandez,pablo candido fernandez,high,canonical_lower
technical_staff_ricardo_herlland_seguins_de_lima,Ricardo Herlland Seguins de Lima,ricardo herlland seguins de lima,high,canonical_lower
technical_staff_robertinho,Robertinho,robertinho,medium,canonical_lower
technical_staff_roberto_barbosa_dos_santos,Roberto Barbosa dos Santos,roberto barbosa dos santos,high,canonical_lower
technical_staff_rodrigo_barreiros_vieira,Rodrigo Barreiros Vieira,rodrigo barreiros vieira,high,canonical_lower
technical_staff_rodrigo_lasmar,Rodrigo Lasmar,rodrigo lasmar,high,canonical_lower
technical_staff_rodrigo_lasmar,Rodrigo Lasmar,lasmar,high,common_alias
technical_staff_rodrigo_mascarenhas,Rodrigo Mascarenhas,rodrigo mascarenhas,high,canonical_lower
technical_staff_sergio_augusto_campolina_de_azeredo,Sergio Augusto Campolina de Azeredo,sergio augusto campolina de azeredo,high,canonical_lower
technical_staff_sergio_augusto_campolina_de_azeredo,Sergio Augusto Campolina de Azeredo,sergio campolina,high,common_alias
technical_staff_sergio_augusto_campolina_de_azeredo,Sergio Augusto Campolina de Azeredo,sérgio campolina,high,common_alias
technical_staff_sergio_augusto_campolina_de_azeredo,Sergio Augusto Campolina de Azeredo,campolina,medium,common_alias
technical_staff_sergio_campolina,Sérgio Campolina,sérgio campolina,high,canonical_lower
technical_staff_sergio_campolina,Sérgio Campolina,sergio campolina,high,canonical_without_accents
technical_staff_sergio_campolina,Sérgio Campolina,campolina,medium,common_alias
technical_staff_thiago_daniel_macedo_silva,Thiago Daniel Macedo Silva,thiago daniel macedo silva,high,canonical_lower
technical_staff_tiago_andre_lopes_senra,Tiago Andre Lopes Senra,tiago andre lopes senra,high,canonical_lower
technical_staff_vinicius_bergantin,Vinícius Bergantin,vinícius bergantin,high,canonical_lower
technical_staff_vinicius_bergantin,Vinícius Bergantin,vinicius bergantin,high,canonical_without_accents
