video_id,match_id,title,description,channel_id,channel_name,published_at,period,views,likes,comment_count,url,search_query
n76ejL1ng2k,2025-08-27-cam-cru,ATLÉTICO-MG 0 x 2 CRUZEIRO | MELHORES MOMENTOS | QUARTAS DE FINAL | COPA DO BRASIL 2025,CABULOSO SAI NA FRENTE! O #Cruzeiro conseguiu um baita resultado no jogo de ida das quartas de final da ...,UC6RD83p2Hlum9aURp3pASeQ,Prime Video Sport Brasil,2025-08-28T00:36:13Z,post_game,2662968,38239,2535,https://www.youtube.com/watch?v=n76ejL1ng2k,"""Atlético-MG x Cruzeiro"" 27/08/2025"
3_JVt4nleYI,2025-08-27-cam-cru,COMO FOI ATLÉTICO VS CRUZEIRO!,,UCjuoQFvSdUJu6jQQR5EqCuA,Jaum Brow,2025-08-28T20:10:00Z,post_game,1802987,32616,189,https://www.youtube.com/watch?v=3_JVt4nleYI,"""Atlético-MG x Cruzeiro"" 27/08/2025"
P4pCcaxCu0Q,2025-08-27-cam-cru,"Leitura labial de Atlético-MG x Cruzeiro pela Copa do Brasil. Hulk, Cuca discutem com torcedores.",,UCc_tw_T3LHKsLKgcCcmSC2Q,VELLOSO,2025-08-28T13:02:06Z,post_game,837983,30494,680,https://www.youtube.com/watch?v=P4pCcaxCu0Q,"""Atlético-MG x Cruzeiro"" Copa do Brasil"
nilRjv6sF9E,2025-08-27-cam-cru,ATLÉTICO-MG 0 X 2 CRUZEIRO | MELHORES MOMENTOS | QUARTAS DE FINAL COPA DO BRASIL 2025 | ge.globo,"Dupla de Seleção marca, Cruzeiro vence Atlético-MG, dá fim a jejum e larga na frente por classificação na Copa do Brasil.",UCgCKagVhzGnZcuP9bSMgMCg,ge tv,2025-08-28T01:05:24Z,post_game,538962,9374,816,https://www.youtube.com/watch?v=nilRjv6sF9E,"""Atlético-MG x Cruzeiro"" 27/08/2025"
_cM2NeoVjyU,2025-08-27-cam-cru,ATLÉTICO-MG X CRUZEIRO - AO VIVO | COPA DO BRASIL - 27/08/2025,ATLÉTICO-MG X CRUZEIRO - AO VIVO | COPA DO BRASIL - 27/08/2025 #Atlético #copadobrasil #Cruzeiro #jogos ...,UCeCITRe4KHrRbzwqtZFDRFA,Voz do Esporte,2025-08-28T01:11:18Z,post_game,564308,2190,4,https://www.youtube.com/watch?v=_cM2NeoVjyU,"""Atlético-MG x Cruzeiro"" 27/08/2025"
FsZOJU2ayGo,2025-05-18-cru-cam,CLÁSSICO É GUERRA!🐓🔥⚔️#futebol #atleticomg #edit #classico #cruzeiro #aquiegalo,galo #atletico #atleticomineiro #atleticomg #futebol #galao #galaodamassa #maiordeminas #clubeatleticomineiro #vamogalo ...,UCyfOVVBDfkHARtam2Zlo6sQ,MD.CAM_edits,2025-05-17T18:47:42Z,pre_game,155121,6148,222,https://www.youtube.com/watch?v=FsZOJU2ayGo,"""Cruzeiro x Atlético-MG"" Campeonato Brasileiro"
KzYzCAbnQkM,2025-05-18-cru-cam,CRUZEIRO 0 X 0 ATLETICO-MG - MELHORES MOMENTOS - CAMPEONATO BRASILEIRO 2025 - ASSISTA AGORA!,aovivo #cruzeiro #atleticomg ⚽   Veja onde assistir AO VIVO Cruzeiro 0 vs 0 Atletico mg GOLS E MELHORES MOMENTOS ...,UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2025-05-18T17:30:06Z,pre_game,26713,66,12,https://www.youtube.com/watch?v=KzYzCAbnQkM,Atlético Cruzeiro pré jogo 18/05/2025
VDIOz230tJ0,2025-05-18-cru-cam,CRUZEIRO 0 X 0 ATLETICO-MG - MELHORES MOMENTOS - CAMPEONATO BRASILEIRO 2025 - ASSISTA AGORA!,aovivo #cruzeiro #atleticomg ⚽   Veja onde assistir AO VIVO Cruzeiro 0 vs 0 Atletico mg GOLS E MELHORES MOMENTOS ...,UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2025-05-17T20:00:06Z,pre_game,14309,67,1,https://www.youtube.com/watch?v=VDIOz230tJ0,Atlético Cruzeiro pré jogo 18/05/2025
p36WiAFFLTo,2025-05-18-cru-cam,"Cruzeiro x Atlético-MG AO VIVO | Onde assistir, horário e transmissão do Brasileirão 2025","O clássico mineiro vai estremecer o Mineirão neste sábado, 18 de maio, às 20h30! Cruzeiro e Atlético-MG se enfrentam em mais ...",UCnccafnoWM9CV8nSZ_DZqcQ,Hora do Jogo TV,2025-05-18T13:01:31Z,pre_game,7896,52,3,https://www.youtube.com/watch?v=p36WiAFFLTo,"""Cruzeiro x Atlético-MG"" 18/05/2025"
dNgMhWcA0Zw,2025-05-18-cru-cam,CRUZEIRO 0 X 0 ATLETICO-MG - MELHORES MOMENTOS - CAMPEONATO BRASILEIRO 2025 - ASSISTA AGORA!,aovivo #cruzeiro #atleticomg ⚽   Veja onde assistir AO VIVO Cruzeiro 0 vs 0 Atletico mg GOLS E MELHORES MOMENTOS ...,UC7o348w0PS8593rnIAHE1vg,Rodrigo Gamer 18,2025-05-16T20:00:06Z,pre_game,5700,25,0,https://www.youtube.com/watch?v=dNgMhWcA0Zw,Atlético Cruzeiro pré jogo 18/05/2025
